(9.444763329507438, -48.3851769979738)
(-9.173817447687, 73.09970252905433)
(58.240507646651196, 74.67741214736435)
(64.98807361461985, -93.3311670310901)
(95.051122011529, -0.20334390400735458)
(-36.438649973454915, -90.02576438029672)
(-74.65562879141167, -21.941931650898397)
(56.4443855531124, 38.09234016265725)
(-87.86741675513086, -46.8434756635328)
(1.8841521829339172, 25.173319023565696)
(-17.14054432460439, -12.801756873788705)
(-60.040858834947606, -24.598993241849726)
(64.37319885577895, -49.483052226299876)
(-37.712727479350505, 54.687338591717804)
(43.53343186601154, -84.41687509889213)
(-62.55580527688254, 63.35612442252565)
(61.787033719216424, -97.9177587943978)
(-89.06415560268819, -2.017149527952469)
(-66.75234011891203, -54.44814346084426)
(82.56573879981948, -12.37911845661877)
(3.791524061696009, 2.7266435992655715)
(-2.4584131930782434, -48.07737179831286)
(-65.99324318119619, 96.80161704441974)
(-73.93679114501339, 21.34486238908535)
(-23.471551177221357, -32.0488430313528)
(4.419300736901334, -79.4469467155472)
(-9.647877209265474, 10.340269214328018)
(35.24879654861357, 26.044932218792653)
(44.84096426755903, 50.31303518005623)
(20.23525345178156, -83.66030899327843)
(-87.95013326114847, 36.65394499895598)
(-58.99095671022785, -93.28139178494656)
(24.36071630592282, -21.663898497288997)
(62.26829032122609, -11.58713824220159)
(-23.824047236576334, 32.36283701490831)
(42.5417462728949, 1.6679998233977642)
(-83.35990339556783, -86.78012275596542)
(50.22573018307682, -1.4174958237594808)
(-11.530218852883323, 90.20852196261538)
(42.72539445496798, -64.9648482669011)
(59.94477487804565, 62.62455662383067)
(-52.50110848868168, -86.80339497513458)
(-56.94284602102526, -53.5949543792118)
(-98.2189481307527, -49.314847219227055)
(-44.77674501829292, -54.46149321780298)
(-48.19977027969075, -84.99059089622949)
(18.72123561090531, -89.34141260989045)
(-91.30177294065493, 95.07604613821078)
(-85.00290416858451, -72.895509690408)
(-85.13577925216138, -88.36835183533849)
(3.0616509551230138, -94.93623610000435)
(-12.817003487124936, 91.93853062518909)
(-78.09643792975626, -63.17332939896705)
(-31.919920897415423, 10.888543755065854)
(30.00928548383183, 46.91099222904353)
(5.606040073305408, 20.942137549406922)
(80.65676073455208, 72.63074461157595)
(-21.34625937030789, 3.613718465374191)
(-29.496893761206906, -59.26620786357015)
(27.02400377133995, -36.199061398721156)
(9.678610854977393, -29.55636381477234)
(58.44943611075547, -36.445197750063606)
(-93.41051370523856, -13.141019622144356)
(-49.27608721564199, -97.90926807890013)
(63.31270761351732, -37.02664209216693)
(2.089333405635216, 5.826905621986484)
(15.600691290291053, -78.04637047167671)
(-67.94504835010841, -56.5019050547868)
(7.429668575945868, 67.78732873818382)
(61.882478964730865, 24.223379500942286)
(-74.8334904085521, 64.29957000772978)
(55.54746175150882, 22.789077505521817)
(-75.43133803032265, 48.58866009087217)
(91.55224107547076, 89.17714821030955)
(-12.195392879091571, -14.22143497688468)
(-26.066770074569064, -35.03021710864816)
(-77.31892174282856, -45.74101242273383)
(47.71956623929657, -11.682736279032355)
(-86.30478624311826, 86.02550330995945)
(-22.97385222335278, -42.04738131946808)
(-87.12188725919981, -87.91276042491272)
(-81.82929681209683, 44.62345208366722)
(44.716438156331634, 41.68535675649048)
(62.44158536024159, -99.2094481617306)
(69.65333635883817, -2.9050278898317146)
(84.75412943137866, 87.4108728100839)
(1.8168317804395002, 15.827539064080781)
(81.36929745337974, 32.23902986942832)
(-38.60768925919906, 64.50646342814218)
(-84.17830491267114, -57.70980562717107)
(-58.89161168956456, 0.50555103024206)
(-57.46022213881239, -8.289316472952251)
(32.10391557233831, 97.3596786310693)
(-57.76664842608954, 73.9895613409328)
(35.04957922006699, -70.99429191104912)
(-34.62943812080408, -36.46405907131247)
(78.88283263458666, -24.62034041819821)
(-17.42036111880701, 42.5354746734308)
(-6.830249206936827, -88.71027433163661)
(77.30397242669898, 8.173392788722865)
